N° de transaction;Bon de sortie;Type de transaction;Date de sortie;Code article;Description de l'article;Famille d'article;CAv de l'article;Code analytique;Famille de machine;Type d'organe principal;Quantité sortie;Unité ;PUMP de l'article;Montant total en devise de base;Devise de base;Montant total en devise du magasin;Devise du magasin;Magasin source;Casier source;CIS du magasin source;Direction du magasin source;Magasin destinataire;CIS du magasin destinataire;Direction du magasin destinataire;N° d'OT destinataire;Description de l'OT;Demandeur de la pièce;Chantier de l'OT;Parc de l'OT ;CIS de l'OT;Statut OT;RO Number OT;Date debut OT;Date achèvement OT;Origine Composant;Direction de l'OT ;Composant;Equipement de l'OT;Type de l'OT;Sous-classe;Famille ;Département ;Propriété ;Organisation du magasin source;Commentaire
287958;BSM0223965/20;Sortie d'article;13/07/2023;CA9W4361;SUPPORT FLEXIBLE / MOUNT-FLEXIBLE;CA;602237;013;ED00;91-Frame;10;U;13427;134270;XOF;204,63;EUR;MB-E;MB.6.2/03332L;300032;MINES;;;;609565;REPARATION AIR COND DA;B.SORO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;12/08/2023;;MINES;;ED535;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288466;0225094/03331L/23;Sortie d'article;21/07/2023;CA5C8811;BALAIS D'ESSUIE-GLACE 500 mm / BLADE AS-WIPER;CA;602237;013;ED00;Consommables;1;U;30397;30397;XOF;46,33;EUR;MB-E;MB.6.3/03330L;300032;MINES;;;;609566;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;12/08/2023;;MINES;;ED534;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288466;0225094/03331L/23;Sortie d'article;21/07/2023;CA6V5851;ENS. BALAI ESSUIE GLACE / BLADE AS WIPER;CA;602237;013;ED00;Consommables;1;U;24688;24688;XOF;37,62;EUR;MB-E;MB.6.3/03331L;300032;MINES;;;;609566;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;12/08/2023;;MINES;;ED534;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288466;0225094/03331L/23;Sortie d'article;21/07/2023;CA6V5849;ENS. BALAI D'ESSUI GLACE  / KIT WIPER BLADE;CA;602237;013;ED00;E2-GET;4;U;21621;86484;XOF;131,8;EUR;MB-E;MB.6.3/03331L;300032;MINES;;;;609566;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;12/08/2023;;MINES;;ED534;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288465;0225093/03333L/23;Sortie d'article;21/07/2023;CA6V5849;ENS. BALAI D'ESSUI GLACE  / KIT WIPER BLADE;CA;602237;013;ED00;E2-GET;4;U;21621;86484;XOF;131,8;EUR;MB-E;MB.6.3/03333L;300032;MINES;;;;609567;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;17/10/2023;;MINES;;ED536;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288465;0225093/03333L/23;Sortie d'article;21/07/2023;CA6V5851;ENS. BALAI ESSUIE GLACE / BLADE AS WIPER;CA;602237;013;ED00;Consommables;1;U;24688;24688;XOF;37,62;EUR;MB-E;MB.6.3/03333L;300032;MINES;;;;609567;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;17/10/2023;;MINES;;ED536;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288465;0225093/03333L/23;Sortie d'article;21/07/2023;CA5C8811;BALAIS D'ESSUIE-GLACE 500 mm / BLADE AS-WIPER;CA;602237;013;ED00;Consommables;1;U;30397;30397;XOF;46,33;EUR;MB-E;MB.6.3/03333L;300032;MINES;;;;609567;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;17/10/2023;;MINES;;ED536;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288464;0225092/03334L/23;Sortie d'article;21/07/2023;CA5C8811;BALAIS D'ESSUIE-GLACE 500 mm / BLADE AS-WIPER;CA;602237;013;ED00;Consommables;1;U;30397;30397;XOF;46,33;EUR;MB-E;MB.6.3/03334L;300032;MINES;;;;609568;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;12/08/2023;;MINES;;ED537;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288464;0225092/03334L/23;Sortie d'article;21/07/2023;CA6V5851;ENS. BALAI ESSUIE GLACE / BLADE AS WIPER;CA;602237;013;ED00;Consommables;1;U;24688;24688;XOF;37,62;EUR;MB-E;MB.6.3/03334L;300032;MINES;;;;609568;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;12/08/2023;;MINES;;ED537;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288464;0225092/03334L/23;Sortie d'article;21/07/2023;CA6V5849;ENS. BALAI D'ESSUI GLACE  / KIT WIPER BLADE;CA;602237;013;ED00;E2-GET;4;U;21621;86484;XOF;131,8;EUR;MB-E;MB.6.3/03334L;300032;MINES;;;;609568;REPARATION D'ESSUI-GLACE DA;S.TUO;P20071;PARCMIN-RAL1;000140;Clôturé-;;;12/08/2023;;MINES;;ED537;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
288212;0222147/03330L/21;Sortie d'article;17/07/2023;CA10R0937FCC;CORE MOTOR GP;CA;602237;013;ED00;;1;U;475655;475655;XOF;724,9;EUR;MB-E;MB.D.3/03330L;300032;MINES;;;;609569;REPARATION D'ESSUI-GLACE DA;D.DOUMBIA;P20071;PARCMIN-RAL1;000140;Clôturé-;;;12/08/2023;;MINES;;ED532;R2;ED;ED00;PRODUCTION;RAL1;GEO-MINES;
